Continente,País,Consulado,Circ.Electoral,Local,Mesa,Mesas Fusionadas,Electores,Nro.voto,Opción Constitución Política,Votos TRICEL
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,3.0,3,344.0,1.0,APRUEBO,205.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,3.0,3,344.0,2.0,RECHAZO,19.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,3.0,3,344.0,900.0,VOTOS NULOS,0.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,3.0,3,344.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,4.0,4,341.0,1.0,APRUEBO,244.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,4.0,4,341.0,2.0,RECHAZO,19.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,4.0,4,341.0,900.0,VOTOS NULOS,0.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,4.0,4,341.0,901.0,VOTOS EN BLANCO,1.0
AMERICA,CANADA,CONSULADO GRAL.,TORONTO,LOCAL PRIVADO,1.0,1,346.0,1.0,APRUEBO,179.0
AMERICA,CANADA,CONSULADO GRAL.,TORONTO,LOCAL PRIVADO,1.0,1,346.0,2.0,RECHAZO,20.0
AMERICA,CANADA,CONSULADO GRAL.,TORONTO,LOCAL PRIVADO,1.0,1,346.0,900.0,VOTOS NULOS,0.0
AMERICA,CANADA,CONSULADO GRAL.,TORONTO,LOCAL PRIVADO,1.0,1,346.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,CANADA,CONSULADO GRAL.,TORONTO,LOCAL PRIVADO,2.0,2,336.0,1.0,APRUEBO,165.0
AMERICA,CANADA,CONSULADO GRAL.,TORONTO,LOCAL PRIVADO,2.0,2,336.0,2.0,RECHAZO,39.0
